columna_0,ID CAE,Matricula,TIPO VEHÍCULO,COMBUSTIBLE,Columna4,Columna5,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Fecha Devolución,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible2,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma,CHASIS/Bastidor,CVA,F3,CVN,L,AE,Columna2,Vacias,Tipo vehículo2,Tipo combustible,CVA2,f2,CVN2,L2,AE [kWh],Comprobación,Comprobación 2,f23,CVN22,L23,columna_65
76.0,CAE500114,2179KNN,M1,DIESEL,DIESEL,M1,X,X,,,X,X,,AYVENS,1,RENTING,DEVUELTO,43343,2023-03-31,2023-04-04,1673,2023,7,DIESEL,OPEL,CORSA 1.3 CDTI 75 CV 5P,1004,G.O.MEDIOAMBIENTE S.L.,350469,5,5566KSD,RENAULT,ZOE 40,ELECTRICO,724359,2023,2018-12-05,0,1004,4500389256,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VF1AG000861226255,5.1,10,13.3,13073,4928.521,M1,FALSO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
77.0,CAE500115,8170LCK,N1,DIESEL,DIESEL,N1,X,,X,,X,X,,TLM,3,ALQUILER,DEVUELTO,2023-03-17,2024-01-16,2024-01-16,305,2024,7,DIESEL,PEUGEOT,EXPERT 1.5 HDI 102 CV,1066,CANALIZ. CIVILES S.A.,306050,8,8636MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,10669109,2024,2024-11-29,0,1066,4500426780,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00073824816,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
78.0,CAE500116,3310MDB,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-01,2024-06-25,2024-06-25,145,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725496,19,6445MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,205567,2024,2024-11-29,0,1505,4500424838,CGAC,,X,CATALUÑA,VR7CBZYAXRT153017,5.6,10,16.4,15815,6262.740000000001,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
79.0,CAE500117,1722MGL,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-01,2024-05-21,2024-05-21,110,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725496,20,5020MWL,NISSAN,TOWNSTAR,ELECTRICO,205337,2024,2024-11-20,0,1505,4500423385,CGAC,,X,CATALUÑA,VNVNFK00571491969,5.6,10,20,15815,5693.4,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
80.0,CAE500119,8677MGK,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-01,2024-07-31,2024-07-31,181,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725400,21,6847MWL,NISSAN,TOWNSTAR,ELECTRICO,205337,2024,2024-11-20,0,1505,4500423384,CGAC,,X,CATALUÑA,VNVNFK00171491399,5.6,10,20,15815,5693.4,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
81.0,CAE500120,2502LZC,N1,DIESEL,DIESEL,N1,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-02,2024-03-21,2024-03-21,48,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,205337,22,8539MDK,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725465,2023,2023-01-19,-1,1505,4500351523,CGAC,,X,CATALUÑA,VF1RFK00170026505,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
82.0,CAE500121,2842LYK,N1,DIESEL,DIESEL,N1,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-02,2024-03-21,2024-03-21,48,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,205337,23,8533MDK,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725465,2023,2023-01-19,-1,1505,4500351522,CGAC,,X,CATALUÑA,VF1RFK00370026442,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
83.0,CAE500122,3264MDB,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-01,2024-05-13,2024-05-13,102,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725496,24,4073MXK,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205584,2024,2024-12-26,0,1505,4500426777,CGAC,,X,CATALUÑA,VF1RFK00073824878,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
84.0,CAE500123,9778KJG,M1,GLP,GLP,M1,X,,X,,x,x,,AYVENS,1,RENTING,DEVUELTO,43182,2023-03-23,2023-05-02,1826,2023,7,GLP,OPEL,CROSSLAND X 1.2 80 CV GLP,1200,EMIVASA,200020,7,0213MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,12009060,2024,2024-12-11,1,1200,4500424867,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA6RT153032,5.1,7.16,16.4,13073,2629.76468,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.45,7.16,17.92,13073,3694.6912599999996,,,IGUAL,DISTINTO,IGUAL,
85.0,CAE500125,0842KVR,M1,B/GLP,GLP,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43560,2023-04-05,2023-02-08,1461,2023,7,GLP,OPEL,CROSSLAND X 1.2 80 CV GLP,1200,EMIVASA,12009082,8,0224MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200020,2024,2024-12-11,1,1200,4500424886,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA2RT153027,5.1,7.16,16.4,13073,2629.76468,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.45,7.16,17.92,13073,3694.6912599999996,,,IGUAL,DISTINTO,IGUAL,
