ID CAE,OK DE GF,Matricula Antigua,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Localidad,Provincia,Com. Aut.,Dirección,Huso,Coord.,Referencia Catastral,Descripción de la actuación,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma2,CHASIS/Bastidor,CVA,F,CVN,L,Ahorro estimado,Columna2,CALCULO GF,Vacias
CAE500007,CAE500007,1865LDL,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-22,2024-01-30,39,2024,7,DIESEL,CITROEN,C3,1021,MEDICION AVANZADA CONTAD.,357712,3,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0695MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,0,1021,4500426841,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00773824845,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500008,CAE500008,4295MRH,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-08,2024-09-30,114,2024,7,DIESEL,CITROEN,C3 100 CV,1001,AGUAS DE VALENCIA SA,101353,2,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6015MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200567,2024,2024-11-26,0,1001,4500424209,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYAXRT152191,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500009,,0962LBT,,,,,,,,WASTERENT,3,ALQUILER,DEVUELTO,44756,2023-08-31,413,1905-07-15,7,DIESEL,IVECO,EUROCARGO 180,1006,ARAGONESA SER.PUBLICOS SL,730629,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500010,CAE500010,8213KFW,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO POR SINIESTRO,2017-12-04,2023-02-17,1901,2023,6,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,4,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0692MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,1,1021,4500426794,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00173824842,2.9,9.19,17.3,2831,264.7268099999999,L3e,617.4694099999999,CORRECTO PROPIEDAD
CAE500011,CAE500011,0909HZB,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2016-09-28,2024-09-26,2920,2024,4,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,5,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0773MXH,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357708,2024,2024-12-20,0,1021,4500426849,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00473824852,2.9,9.19,17.3,2831,264.7268099999999,L3e,617.4694099999999,CORRECTO PROPIEDAD
CAE500012,CAE500012,1987HGR,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2011-10-14,2024-09-26,4731,2024,4,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,6,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0823MXH,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357752,2024,2024-12-20,0,1021,4500426870,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00873824854,2.9,9.19,17.3,2831,264.7268099999999,L3e,617.4694099999999,CORRECTO PROPIEDAD
CAE500013,CAE500013,8449HKF,,,,X,X,X,X,PROPIEDAD,5,PROPIEDAD,CANCELADO,2012-04-18,2024-09-26,4544,2024,4,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,7,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0971MXH,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357708,2024,2024-12-20,0,1021,4500426847,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00073824847,2.9,9.19,17.3,2831,264.7268099999999,L3e,617.4694099999999,CORRECTO PROPIEDAD
CAE500014,CAE500014,4579KCW,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2017-09-05,2024-11-08,2621,2024,4,GASOLINA,KYMCO,AGILITY CITY 125 CC,1053,"IMPL.SISTEMAS DE GESTION, S.L.",355521,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,8349MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,355528,2024,2024-12-20,0,1053,4500426779,ISG,,X,COMUNIDAD VALENCIANA,VF1RFK00373934291,2.9,9.19,17.3,2831,264.7268099999999,L3e,617.4694099999999,CORRECTO PROPIEDAD
CAE500015,CAE500015,1485LSB,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44414,2025-08-06,1461,2025,7,HÍBRIDO,RENAULT,ARKANA TCE 140 CV,1200,EMIVASA,12009006,1,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,3143MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,100011,2024,2024-12-12,-1,1200,4500424885,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA5RT154432,5.1,9.19,16.4,13073,3983.2123699999993,M1,3826.5520745,CORRECTO ALQUILER
CAE500016,CAE500016,3931LLT,X,,X,,X,,,AYVENS,1,RENTING,DEVUELTO,44224,2025-01-28,1461,2025,7,GASOLINA,SEAT,ARONA 1.0 TSI 115 CV,1203,"E.Mixta Metropolitana, SA",12039060,1,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,6082MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,12039060,2024,2024-11-29,-1,1203,4500424805,"E.Mixta Metropolitana, SA",,X,COMUNIDAD VALENCIANA,VR7CBZYA7RT153038,5.1,9.19,16.4,13073,3983.2123699999993,M1,7136.433042999999,CORRECTO ALQUILER
CAE500017,CAE500017,5829LLX,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44215,2025-01-19,1461,2025,7,GASOLINA,SEAT,ARONA 1.0 TSI 115 CV,1001,AGUAS DE VALENCIA SA,200590,3,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,9050MWN,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200541,2024,2024-11-26,-1,1001,4500424807,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA1RT152189,5.1,9.19,16.4,13073,3983.2123699999993,M1,7136.433042999999,CORRECTO ALQUILER
CAE500018,CAE500018,3904LLT,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44224,2025-02-01,1465,2025,7,GASOLINA,SEAT,ARONA 1.0 TSI 115 CV,1200,EMIVASA,12009060,2,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,3133MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200020,2024,2024-12-12,-1,1200,4500424896,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA2RT154436,5.1,9.19,16.4,13073,3983.2123699999993,M1,7136.433042999999,CORRECTO ALQUILER
CAE500019,CAE500019,9417LKC,X,,X,,X,,,AYVENS,1,RENTING,DEVUELTO,44133,2024-10-29,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1200,EMIVASA,12009060,3,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,3105MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200020,2024,2024-12-12,0,1200,4500424877,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA3RT153022,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500020,CAE500020,9418LKC,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44133,2024-10-29,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,101702,4,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6028MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200590,2024,2024-11-26,0,1001,4500424796,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA2RT152184,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500021,,0986LVB,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44537,2023-11-15,708,1905-07-15,4,DIESEL,VOLVO,FM 500 4 EJES,1069,JEMAR E HIJOS S.L.,DEFINIR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500022,,1469CWR,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,38111,2023-11-15,7134,1905-07-15,4,DIESEL,RENAULT,PREMIUM 440,1069,JEMAR E HIJOS S.L.,DEFINIR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500023,,1473CWR,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,38139,2023-11-15,7106,1905-07-15,4,DIESEL,RENAULT,MAGNUM 480 18 T,1069,JEMAR E HIJOS S.L.,DEFINIR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500024,,1601JCF,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44110,2023-11-15,1135,1905-07-15,4,DIESEL,IVECO,460,1069,JEMAR E HIJOS S.L.,DEFINIR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500025,,4006CVG,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,42152,2023-11-15,3093,1905-07-15,4,DIESEL,VOLVO,FH 12 D 460,1069,JEMAR E HIJOS S.L.,DEFINIR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500026,,5106JCS,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44000,2023-11-15,1245,1905-07-15,4,DIESEL,VOLVO,FM 11450,1069,JEMAR E HIJOS S.L.,DEFINIR,7,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500027,,6112LXB,,,,,,,,ARVAL SERV,1,RENTING,CANCELADO,44650,2023-11-15,595,1905-07-15,4,DIESEL,VOLVO,XC 90 B5 D 235 CV,1069,JEMAR E HIJOS S.L.,DEFINIR,8,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500028,,7275KFD,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44516,2023-11-15,729,1905-07-15,4,DIESEL,IVECO,460,1069,JEMAR E HIJOS S.L.,DEFINIR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500029,,8343CKG,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,37811,2023-11-15,7434,1905-07-15,4,DIESEL,VOLVO,FM 12380- 3 EJES,1069,JEMAR E HIJOS S.L.,DEFINIR,10,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500030,CAE500030,9428LKC,X,,,,x,x,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,44133,2024-10-29,1461,2024,6,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,200750,5,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6029MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200714,2024,2024-11-29,0,1001,4500424793,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA7RT152178,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,FALSO ALQUILER
CAE500031,,9438LGT,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,43994,2023-11-15,1251,1905-07-15,4,DIESEL,RENAULT,T 480,1069,JEMAR E HIJOS S.L.,DEFINIR,11,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500032,,E1476BDM,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,42830,2023-11-15,2415,1905-07-15,4,DIESEL,JOHN DEERE,TRACTOR AGRICOLA,1069,JEMAR E HIJOS S.L.,DEFINIR,12,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500033,,R0732BDB,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,43304,2023-11-15,1941,1905-07-15,4,DIESEL,LEGRAS,SBS2220,1069,JEMAR E HIJOS S.L.,DEFINIR,13,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500034,,R1645BBR,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,38134,2023-11-15,7111,1905-07-15,4,DIESEL,LECITRAILER,3E20,1069,JEMAR E HIJOS S.L.,DEFINIR,14,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500035,,R4952BBT,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44064,2023-11-15,1181,1905-07-15,4,DIESEL,TISVOL,950190LAL,1069,JEMAR E HIJOS S.L.,DEFINIR,15,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500036,,R4991BCP,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,44393,2023-11-15,852,1905-07-15,4,DIESEL,GRANALU,PM 136,1069,JEMAR E HIJOS S.L.,DEFINIR,16,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500037,,R7781BCD,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,38721,2023-11-15,6524,1905-07-15,4,DIESEL,GRANALU,H 1700,1069,JEMAR E HIJOS S.L.,DEFINIR,17,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500038,,R9871BBD,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,36830,2023-11-15,8415,1905-07-15,4,DIESEL,TISVOL,A 960170 EAL,1069,JEMAR E HIJOS S.L.,DEFINIR,18,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500039,,V1409HD,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,32874,2023-11-15,12371,1905-07-15,4,DIESEL,MERCEDES,SK2538 3 EJES,1069,JEMAR E HIJOS S.L.,DEFINIR,19,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500040,,V15847R,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,35720,2023-11-15,9525,1905-07-15,4,DIESEL,TISVOL,1010170 EAL BASCULANTE,1069,JEMAR E HIJOS S.L.,DEFINIR,20,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500041,,V96122VE,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,36209,2023-11-15,9036,1905-07-15,4,DIESEL,CASE,PALA CARGADORA,1069,JEMAR E HIJOS S.L.,DEFINIR,21,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500042,,9752BFB,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,36891,2023-11-17,8356,1905-07-15,4,GASOLINA,IVECO,CAMION RSU,1006,ARAGONESA SER.PUBLICOS SL,730629,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500043,,0722KVP,,,,,,,,AYVENS,1,RENTING,DEVUELTO,43563,2023-04-08,1461,1905-07-15,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1400,EGEVASA,208379,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500044,CAE500044,9431LKC,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44133,2024-10-29,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,200300,6,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6042MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,201510,2024,2024-11-29,0,1001,4500424791,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA0RT152183,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500045,CAE500045,9494LKC,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44133,2024-10-29,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,200542,7,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6046MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200560,2024,2024-11-29,0,1001,4500424792,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA9RT152182,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500046,CAE500046,0818LKK,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44134,2024-10-30,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1021,MEDICION AVANZADA CONTAD.,357108,8,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6492MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,357108,2024,2024-11-29,0,1021,4500424794,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VR7CBZYA5RT154429,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500047,CAE500047,4170LKY,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44166,2024-12-01,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1200,EMIVASA,12009060,4,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,3121MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,100041,2024,2024-12-12,0,1200,4500424898,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA1RT153035,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
